Stage,MSE_Train,RMSE_Train,MAE_Train,R2_Train,MSE_Val,RMSE_Val,MAE_Val,R2_Val,MSE_Test,RMSE_Test,MAE_Test,R2_Test
stage_1,0.5450804420639459,0.738295633241824,0.45607156501891677,0.26020400223762125,1.1923751316672966,1.0919593086133277,0.6165603931688329,-0.06980815922238225,13.613300346809885,3.689620623696952,1.870080000680426,-0.08752550249514372
stage_2,0.37405138701224755,0.6115974059888151,0.38429260860631054,0.4504191726931532,1.2150220080838934,1.1022803672768073,0.6205104509388425,-0.09262869281700922,13.576206307048382,3.6845903852461515,1.8589357513448466,-0.09893451307130896
stage_3,0.489654489880744,0.6997531635375034,0.4346289762395358,0.39435730002961067,1.0291514107659194,1.014471000455863,0.5781774489586888,0.017621505939239286,11.930827786093174,3.4541030364036875,1.7389830428621043,-0.02759084235066953
